ID	Title	URL	Version	Word count	OWE	SPURIOUS	SPECIFIC	LETTER	ROUNDUP	NON-UK EDITION	NON-ENGLISH	VIDEO	NON-DISRUPTIVE OWE	OWE_FOCUSSED	PASSES_SCREENING
BBC_2021-11-14_Cop26-Why-were	Cop26: Why were there so few arrests at climate protests?	https://www.bbc.com/news/uk-scotland-59235091	original	1117	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2023-01-16_Climate-hactivists-subvert	Climate hactivists subvert Bristol Billboards with spoof ads	https://www.bbc.com/news/uk-england-bristol-64264251	original	328	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-06-16_Euro-2020-	Euro 2020 - France 1-0 Germany: Several in hospital after parachute protest	https://www.bbc.com/sport/football/57488478	original	324	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2020-09-04_Extinction-Rebellion-More	Extinction Rebellion: More than 300 arrested at London climate protests	https://www.bbc.com/news/uk-england-london-54021889	original	217	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-07-16_Extinction-Rebellion-protesters	Extinction Rebellion protesters guilty of obstructing highway	https://www.bbc.com/news/uk-england-beds-bucks-herts-57864459	original	297	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-10-30_Edinburgh-warned-to	Edinburgh warned to prepare for COP26 disruption	https://www.bbc.com/news/uk-scotland-edinburgh-east-fife-59097289	original	707	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2022-05-16_Greenpeace-activists-in	Greenpeace activists in Essex arrested blocking oil tanker	https://www.bbc.com/news/uk-england-essex-61463454	original	357	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-11-18_Extinction-Rebellion-Summer	Extinction Rebellion: Summer protests cost Met £18m to police	https://www.bbc.com/news/uk-england-devon-59333761	original	280	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-11-01_COP26-Glasgows-UN	COP26: Glasgow's UN climate conference opens with key speeches	https://www.bbc.com/news/uk-scotland-59118835	original	712	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2021-09-24_Extinction-Rebellion-Paralympian	Extinction Rebellion: Paralympian James Brown jailed for plane glue stunt	https://www.bbc.com/news/uk-england-london-58678274	original	467	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-03-14_Sarah-Everard-What	Sarah Everard: What went wrong at the Clapham vigil?	https://www.bbc.com/news/uk-56394344	original	1182	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2021-09-27_Insulate-Britain-M25	Insulate Britain: M25 targeted near Heathrow as activists stage protest	https://www.bbc.com/news/uk-england-london-58704508	original	373	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2022-10-30_Do-not-intervene	Do not intervene with Just Stop Oil protests, Met urges	https://www.bbc.com/news/uk-england-london-63445355	original	391	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2022-04-30_Just-Stop-Oil	Just Stop Oil protests: Four charged over M25 services damage	https://www.bbc.com/news/uk-england-surrey-61280289	original	159	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2022-04-09_French-election-Whos	French election: Who's challenging Emmanuel Macron for the presidency?	https://www.bbc.com/news/world-europe-59900131	original	2139	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2021-06-01_Hamble-BP-oil	Hamble BP oil terminal entrance blocked by protesters	https://www.bbc.com/news/uk-england-hampshire-57318154	original	443	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2023-04-14_King-Charles-III	King Charles III: Man guilty of York egg-throwing charge	https://www.bbc.com/news/uk-england-york-north-yorkshire-65276668	original	631	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2021-02-03_Whitehaven-coal-mine	Whitehaven coal mine opposition provokes real anger, mayor says	https://www.bbc.com/news/uk-england-cumbria-55917464	original	322	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2021-12-03_Cambo-Jobs-warning	Cambo: Jobs warning as Shell pulls out of oil field development	https://www.bbc.com/news/uk-scotland-north-east-orkney-shetland-59517776	original	1005	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2021-10-28_COP26-protesters-planning	COP26 protesters planning high-impact disruption	https://www.bbc.com/news/uk-scotland-59071603	original	637	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2022-04-14_What-is-Extinction	What is Extinction Rebellion and what does it want?	https://www.bbc.com/news/uk-48607989	original	599	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-11-04_COP26-protesters-march	COP26 protesters march on Glasgow defence firm	https://www.bbc.com/news/uk-scotland-59167425	original	507	No	No	Yes	No	No	No	No	No	No	Unused	No
BBC_2021-09-18_Climate-change-Should	Climate change: Should green campaigners put more pressure on China to slash emissions?	https://www.bbc.com/news/science-environment-58584976	original	1057	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-08-25_From-Rhondda-to	From Rhondda to Greenham and the US Supreme Court	https://www.bbc.com/news/uk-wales-58318646	original	1404	No	No	Yes	No	No	No	No	No	No	Unused	No
BBC_2021-08-23_Extinction-Rebellion-erects	Extinction Rebellion erects table in Covent Garden	https://www.bbc.com/news/uk-england-london-58306278	original	360	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-11-15_Drax-train-protester	Drax train protester released on bail	https://www.bbc.com/news/articles/c411ygg2xvzo	original	151	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2022-11-11_Just-Stop-Oil	Just Stop Oil: M25 protests to be halted	https://www.bbc.com/news/uk-england-essex-63594641	original	535	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-10-02_Farnborough-Airport-entrances	Farnborough Airport entrances blocked by protesters	https://www.bbc.com/news/uk-england-hampshire-57858103	original	300	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-07-14_EU-unveils-sweeping	EU unveils sweeping climate change plan	https://www.bbc.com/news/world-europe-57833807	original	867	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2022-04-26_Just-Stop-Oil	Just Stop Oil protests: Protesters breach Kingsbury Oil terminal injunction	https://www.bbc.com/news/uk-england-coventry-warwickshire-61230980	original	345	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2022-10-29_Angry-drivers-remove	Angry drivers remove Just Stop Oil protesters from London roads	https://www.bbc.com/news/uk-england-london-63441031	original	284	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-01-29_Euston-tunnel-protest	Euston tunnel protest: The activist who celebrated her 17th birthday in jail	https://www.bbc.com/news/uk-england-london-55848795	original	1132	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2022-10-18_Police-remove-and	Police remove and arrest M25 Dartford Crossing protesters	https://www.bbc.com/news/uk-england-essex-63296648	original	729	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2022-06-22_Just-Stop-Oil	Just Stop Oil: Activists says they have 'a duty to protest'	https://www.bbc.com/news/newsbeat-61635328	original	914	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2023-04-21_London-Marathon-2023	London Marathon 2023: Everything you need to know about this year's race	https://www.bbc.com/sport/athletics/65309945	original	1116	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2023-04-21_The-surprising-science	The surprising science of climate protests	https://www.bbc.com/future/article/20230421-earth-day-the-science-of-climate-change-protest	original	1702	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2021-11-11_COP26-Cautious-welcome	COP26: Cautious welcome for unexpected US-China climate agreement	https://www.bbc.com/news/science-environment-59243434	original	600	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2021-06-24_Glastonbury-cancellation-big	Glastonbury cancellation 'big hit' for Greenpeace	https://www.bbc.com/news/uk-england-somerset-57580710	original	647	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2021-11-08_COP26-Fewer-than	COP26: Fewer than 50 arrests during the summit to date	https://www.bbc.com/news/uk-scotland-59205778	original	472	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2023-02-21_The-toxic-legacy	The toxic legacy of the Ukraine war	https://www.bbc.com/future/article/20230221-the-toxic-legacy-of-the-ukraine-war	original	2782	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2023-02-08_Just-Stop-Oil	Just Stop Oil activists fined for damaging Last Supper	https://www.bbc.com/news/uk-england-london-64566239	original	186	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2020-09-20_GM-crops-The	GM crops: The Greenpeace activists who risked jail to destroy a field of maize	https://www.bbc.com/news/uk-england-norfolk-54162239	original	1109	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2022-06-07_Boris-Johnson-confidence	Boris Johnson confidence vote: 'They care only about their own interests'	https://www.bbc.com/news/uk-england-nottinghamshire-61720630	original	611	No	No	Yes	No	No	No	No	No	No	Unused	No
BBC_2022-11-14_Barclays-Birmingham-branch	Barclays Birmingham branch defaced in climate change protest	https://www.bbc.com/news/uk-england-birmingham-63624312	original	365	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2023-04-16_The-fishy-business	The fishy business of a Chinese factory in The Gambia	https://www.bbc.com/news/world-africa-65204179	original	1456	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2022-09-28_Nord-Stream-leaks	Nord Stream leaks: Sabotage to blame, says EU	https://www.bbc.com/news/world-europe-63057966	original	501	No	No	No	No	No	No	No	No	No	Unused	No
BBC_2022-10-24_Madame-Tussauds-Protesters	Madame Tussauds: Protesters throw cake on King Charles waxwork	https://www.bbc.com/news/entertainment-arts-63374080	original	296	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
BBC_2022-07-20_Just-Stop-Oil	Just Stop Oil: Protesters force sections of M25 to be closed	https://www.bbc.com/news/uk-england-surrey-62236268	original	571	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
The-Guardian_2023-01-31_Greenpeace-protesters-board	Greenpeace protesters board Shell platform bound for Shetland	https://www.theguardian.com/environment/2023/jan/31/greenpeace-protesters-board-shell-platform-bound-for-shetland	original	876	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
The-Guardian_2022-06-02_Animal-Rebellion-protesters	Animal Rebellion protesters arrested at platinum jubilee celebrations – video	https://www.theguardian.com/uk-news/video/2022/jun/02/animal-rebellion-protesters-arrested-platinum-jubilee-celebrations-video	original	73	Yes	No	Yes	No	No	No	No	Yes	No	Unused	No
The-Guardian_2021-02-08_Balloon-test-flight	Balloon test flight plan under fire over solar geoengineering fears	https://www.theguardian.com/environment/2021/feb/08/solar-geoengineering-test-flight-plan-under-fire-over-environmental-concerns-aoe	original	1012	No	No	No	No	No	No	No	No	No	Unused	No
